cand,split,chosen,alpha_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
C3,resplit_55,LR+HGB|EN l1=0.7 C=0.05|HGB|HGB|LR+HGB,0.21,-0.02459206445816306,0.047,-0.047925341664380006,-0.0004886707651119252,-0.04793786047590065,0.0,-0.012462684404254687,0.336,-0.028142480364026334,0.123,-0.009825232588470567,0.576,0.6263440860215054,0.6509361504796685,0.6355606758832565,0.6222647306031359
C5a,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.32,-0.001985334608584799,0.604,-0.009368242730134382,0.005772516053400583,0.0021737240239978473,0.671,0.0003477958438395934,0.963,-0.008028287395298928,0.188,-0.002434570906877709,0.666,0.6651088311161348,0.6670941657247196,0.6353650407210967,0.6390386343216532
C5a,resplit_11,C=0.01|C=0.01|C=0.2|C=0.01|C=0.2,0.29,-0.009071674926817985,0.019,-0.01804540471964106,-0.0012400601847755927,-0.014955221285105624,0.022,-0.007042865837753265,0.142,-0.012781497261107777,0.054,-0.0015071153233052748,0.805,0.6543633886908384,0.6634350636176565,0.6262353998203055,0.6383647798742139
C5a,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.28,0.0017752079529316234,0.595,-0.005603094130032288,0.009368513021830664,-0.00014491493493318242,0.945,0.0036518563603165077,0.559,0.005129988696635057,0.351,-0.001536098310291889,0.783,0.6635437498188563,0.6617685418659247,0.6243804886531606,0.6263295945280121
C5a,resplit_33,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.29,0.002767875257223995,0.464,-0.0051078109056235475,0.011247125277160071,0.007245746746659676,0.312,0.001333217401385367,0.766,-0.0018549111671448681,0.765,0.0043474480479958055,0.427,0.6562980030721965,0.6535301278149727,0.6218879517723097,0.6221560444019361
C5a,resplit_44,C=0.2|C=0.01|C=0.01|C=0.01|C=0.01,0.29,0.009028200446338036,0.103,-0.0018051161576375845,0.019448509417485906,0.005912529345274309,0.345,0.00791235544735247,0.221,0.003362026490450143,0.662,0.018925890502275222,0.032,0.6578993131032085,0.6488711126568704,0.627162855403878,0.6298945019273686
C5a,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.28,-0.0005144480190128198,0.923,-0.008820335095071982,0.008282088524481337,-0.0005796597397327297,0.909,0.005303886618554965,0.354,-0.007448627655566198,0.345,0.0006666087006926835,0.917,0.6504217024606557,0.6509361504796685,0.6212938005390836,0.6222647306031359
C5b,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.28,-0.008557226907805138,0.286,-0.02717088737392924,0.006603906714200798,-0.002637451815784231,0.815,0.0,1.0,-0.016114540764571195,0.134,-0.015476915050865125,0.082,0.6585369388169144,0.6670941657247196,0.6369301220183752,0.6390386343216532
C5b,resplit_11,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.28,-0.007999304408312341,0.241,-0.022692003443880802,0.004622375478038914,-0.011187432976842548,0.212,-0.0021737240239979583,0.781,-0.016027591803611352,0.115,-0.0026084688287975055,0.813,0.6554357592093442,0.6634350636176565,0.6393936759122395,0.6383647798742139
C5b,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.27,-0.00292728168565054,0.762,-0.02051816454187946,0.011479291931775723,0.0025215198678375517,0.803,0.0047532098658087385,0.626,-0.005767614410341126,0.639,-0.013216242065907324,0.149,0.6588412601802742,0.6617685418659247,0.6325971654638727,0.6263295945280121
C5b,resplit_33,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.24,-0.009875952815697198,0.237,-0.027764400075046484,0.005282715740406202,-0.008955742978871473,0.462,-0.005477784540474762,0.523,-0.018288264788569042,0.099,-0.006782018954873514,0.546,0.6436541749992755,0.6535301278149727,0.6206344375851375,0.6221560444019361
C5b,resplit_44,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.28,0.0014563950960785887,0.839,-0.01649688745982778,0.015202709390813914,-0.005274903631568351,0.602,0.007709474538445948,0.388,-0.004202533113062623,0.774,0.00759354259049938,0.468,0.650327507752949,0.6488711126568704,0.6288366229023563,0.6298945019273686
C5b,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.24,-0.0017896994464249305,0.818,-0.018567593781641967,0.012610482340805881,0.0017969451931716396,0.875,0.0045503289569023275,0.629,-0.00907167492681793,0.455,-0.004434397008955759,0.649,0.6491464510332435,0.6509361504796685,0.6218951975190563,0.6222647306031359
C5c,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.31,0.0016665217517317366,0.73,-0.008078081017674956,0.011718106034257889,0.014578442454279306,0.028,0.00040576181781293297,0.957,-0.00817320233023211,0.264,-0.00014491493493318242,0.967,0.6687606874764513,0.6670941657247196,0.6460380256789264,0.6390386343216532
C5c,resplit_11,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.3,-0.001565081297278531,0.687,-0.009486976829726629,0.006182122027109977,0.0037388053212764616,0.484,-0.0016520302582384572,0.709,-0.010375909341216794,0.067,0.002028809089064665,0.731,0.661869982320378,0.6634350636176565,0.6416471031504506,0.6383647798742139
C5c,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.29,0.007847143726632477,0.185,-0.0038598666077137972,0.019705174212726988,0.016578268556357467,0.056,0.0021157580500246187,0.734,0.008376083239138632,0.277,0.004318465061009191,0.517,0.6696156855925572,0.6617685418659247,0.6297930614729155,0.6263295945280121
C5c,resplit_33,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.33,0.006354519896820537,0.311,-0.005615128230447425,0.018509228764265587,0.018954873489261725,0.018,0.004840158826768692,0.473,-0.0013042344143987528,0.877,0.0029272816856504846,0.734,0.6598846477117931,0.6535301278149727,0.6302640350114483,0.6221560444019361
C5c,resplit_44,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.35,0.014085731675506474,0.014,0.0027488267973014915,0.025651492155357548,0.016839115439237107,0.013,0.01634640466046433,0.042,0.006028461293220877,0.509,0.017128945309103583,0.035,0.6629568443323769,0.6488711126568704,0.6360533866620294,0.6298945019273686
C5c,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.28,-0.0021954612642378912,0.677,-0.012799806922357056,0.00821786159287226,0.00463727791786217,0.63,-0.003362026490450032,0.584,-0.012752514274121052,0.13,0.0026954177897573484,0.687,0.6487406892154306,0.6509361504796685,0.6241486247572675,0.6222647306031359
