cand,split,chosen,alpha_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
G-B,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.37,-0.0029490189258905286,0.73,-0.01799956871765383,0.012361315332353358,0.009854215575457181,0.323,-0.0015071153233052748,0.863,-0.006260325189114013,0.563,-0.013882850766600008,0.127,0.6588195229400342,0.6617685418659247,0.6255470538793728,0.6263295945280121
G-B,resplit_33,C=0.01|C=0.05|C=0.01|C=0.01|C=0.01,0.35,0.011969973625481828,0.157,-0.0045659997420994265,0.029033050055400248,0.017998434918702677,0.048,0.013882850766600008,0.129,0.013245225052893939,0.262,0.002753383763730688,0.825,0.6655001014404545,0.6535301278149727,0.6347201692606439,0.6221560444019361
G-B,resplit_44,C=0.2|C=0.01|C=0.01|C=0.01|C=0.01,0.38,0.01801292641219604,0.018,0.0033884594754688725,0.03348347870737773,0.02225893400573853,0.034,0.02295452569341805,0.015,0.010086079471350318,0.3,0.016752166478277264,0.077,0.6668840390690665,0.6488711126568704,0.6415963829232241,0.6298945019273686
G-B,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.3,-0.0040431266846361336,0.579,-0.018576520123599567,0.011043955957542848,0.0037388053212763506,0.675,-0.005419818566501422,0.492,-0.013042344143987528,0.274,-0.0014491493493319352,0.867,0.6468930237950323,0.6509361504796685,0.6277062864098775,0.6222647306031359
G-C,CANONICAL,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.35,0.0032316030490101844,0.688,-0.010977824972114992,0.01770917467437113,0.022751644784511416,0.02,0.008318117265165292,0.44,-0.009274555835724452,0.365,-0.008868794017911519,0.365,0.6703257687737297,0.6670941657247196,0.6471031504506854,0.6390386343216532
G-C,resplit_11,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.32,0.009499173984870879,0.259,-0.005471790305158314,0.02756645600731458,0.020867750630380044,0.027,0.007970321421325699,0.436,0.007709474538445837,0.483,0.0014491493493319352,0.923,0.6729342376025274,0.6634350636176565,0.6421760426629568,0.6383647798742139
G-C,resplit_22,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.33,0.00047097353853284285,0.932,-0.011959084648130914,0.013222438015906867,0.006318291163087242,0.486,-0.0003477958438397044,0.96,0.00028982986986636483,0.941,-0.004376431034982531,0.6,0.6622395154044576,0.6617685418659247,0.6273874735530244,0.6263295945280121
G-C,resplit_33,C=0.01|C=0.01|C=0.01|C=0.01|C=0.01,0.33,0.008151465089992177,0.229,-0.0051744368947964055,0.02207130549833448,0.017215894270063425,0.039,0.008144219343245496,0.297,0.003593890386343279,0.689,0.0036518563603165077,0.695,0.6616815929049648,0.6535301278149727,0.6356258876039764,0.6221560444019361
G-C,resplit_44,C=0.2|C=0.01|C=0.01|C=0.01|C=0.01,0.34,0.02036779410486045,0.005,0.00655367220991702,0.034961302675264073,0.020056226994754067,0.028,0.02251978088861839,0.015,0.012491667391241301,0.178,0.026403501144828034,0.005,0.6692389067617309,0.6488711126568704,0.6425455757470365,0.6298945019273686
G-C,resplit_55,C=0.01|C=0.01|C=0.01|C=0.01|C=0.2,0.29,-0.008064516129032223,0.202,-0.02054259134602664,0.004875552664104767,0.0007535576616526374,0.955,-0.010288960380256729,0.169,-0.017070979335130243,0.061,-0.005651682462394558,0.42,0.6428716343506362,0.6509361504796685,0.6231269744659885,0.6222647306031359
